#bget master file 
#https://github.com/jahwi/bget

#-----------------------------------------------------
#                     CHANGELOG
#19-JUN-2019: Changed 'dev-tools' category to 'devtools'.
#20-JUN-2019: Added category, last modified, and tags to the delimiter description.
#03-OCT-2019: Added script size to the delimiter description.
#25-OCT-2019: Renamed graphicsmacro to graphics.
#-----------------------------------------------------

#this file is delimited thus:
# [#], [script name] ,[script location (i.e. web address) ] ,[script description], [script's local filename], MD5hash, Author, Category, Last Modified, tags, [script size],
[#],test,https://raw.githubusercontent.com/jahwi/bget-list/master/test.bat,The Bget test file,test.bat,d20e619cbcdc632a9bec34d2cd46cb78,Jahwi,test files,Infinity,testfile,Infinite
[#],2048,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/2048/2048.bat,2048 game in batch.,2048.bat,05848f5c9729ee53ac6aacf7b8f331bf,JustinQuinn,game,26/01/2019 03:50 PM,numbers;number,18287
[#],2dstar,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/graphics/2dstar/2dstar.bat,Algorithmically draws an animated rotating 2D star.[Win10 Only],2dstar.bat,969b27e4c794d3cc1a515aedd53c9560,Icarus,graphics,26/01/2019 03:51 PM,shapes;shape,4038
[#],adbtoolkit,https://codeload.github.com/bget-forks/adb-toolkit/zip/master,ADB Toolkit for Android; iOS and Other Mobile Devices Driverpack Rooting,adbtoolkit.zip,External-File-No-Hash-Available,esc0rtd3w,tools,Nil,adbtoolkit,Nil
[#],adventure,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/adventure/adventure.bat,A pure batch implementation of the classic game-Adventure.,adventure.bat,ccc0ff72cb2f7e5f1472df5058e0ae4b,DaveBenham,game,26/01/2019 03:49 PM,rpg,158808
[#],anclock,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/graphics/anclock/anclock.bat,An analog clock that displays the current time. [Win10 Only],anclock.bat,4084b36afc3a45b4cd69a5e0801f6d88,Icarus,graphics,26/01/2019 04:10 PM,time,5379
[#],anclock2,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/graphics/anclock2/anclock2.bat,Another analog clock.,anclock2.bat,24f2e55e8166412f1ce486537ac0433d,Aacini,graphics,26/01/2019 04:10 PM,time,5852
[#],ansidude,https://codeload.github.com/Honguito98/batch-game-ansi-dude/zip/master,Roam this batch adventure game as the brilliantly-named ANSI dude.,ansidude.zip,External-File-No-Hash-Available,Honguito98,game,Nil,ansidude,Nil
[#],appcm,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/appcm/appcm.bat,Add a cascading context menu of Windows Apps.,appcm.bat,a43e02fb0c92ff18c4634cae5652426b,Freebooter,utilities,17/03/2019 12:50 PM,appcm,9779
[#],asteroid,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/asteroid/asteroid.bat,[WIN 10 ONLY] Avoid asteroids falling down to earth.,asteroid.bat,aceead2fe8299c666c843605b1689b3b,LowSun,game,26/01/2019 03:54 PM,rock;dodge,4098
[#],autocomplete,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/autocomplete/autocomplete.bat,Enables auto-compelte for file explorer.,autocomplete.bat,58661cecd5d61c87ba75d561db8ee786,FreeBooter,utilities,19/07/2019 10:15 PM,autocomplete,2718
